pais,anio,valor
Argentina,1970,9.637560964104802
Argentina,1971,10.865882384339923
Argentina,1972,10.98486987183699
Argentina,1973,11.952522488108624
Argentina,1974,10.230837748865143
Argentina,1975,6.5839104917192985
Argentina,1976,8.152170711979313
Argentina,1977,8.087142113968804
Argentina,1978,7.504427477802898
Argentina,1979,7.796277359391324
Argentina,1980,6.3535050048790325
Argentina,1981,6.475522960634391
Argentina,1982,9.596156046218967
Argentina,1983,8.65832496118367
Argentina,1984,8.345976837101098
Argentina,1985,7.634307257304431
Argentina,1986,7.800402640197915
Argentina,1987,8.094358464446284
Argentina,1988,8.977868217752247
Argentina,1989,9.616065096431662
Argentina,1990,8.123676207874885
Argentina,1991,6.716491760094313
Argentina,1992,5.990787091479338
Argentina,1993,5.136826482117787
Argentina,1994,5.082668000310752
Argentina,1995,5.351464616272997
Argentina,1996,5.610866113233614
Argentina,1997,5.22197210944516
Argentina,1998,5.252722569876225
Argentina,1999,4.457826102291524
Argentina,2000,4.679910944172974
Argentina,2001,4.5685896089178595
Argentina,2002,10.206646714441103
Argentina,2003,10.328166939116995
Argentina,2004,8.362486610028256
Argentina,2005,7.9387542742093835
Argentina,2006,6.935572291263924
Argentina,2007,7.4523539460692305
Argentina,2008,7.318954597243597
Argentina,2009,5.273623468901396
Argentina,2010,7.1321674507896375
Argentina,2011,6.9987337702251935
Argentina,2012,5.781744206850099
Argentina,2013,6.052918436704514
Argentina,2014,6.712703514285585
Argentina,2015,5.156685902140803
Argentina,2016,6.2645658201025425
Argentina,2017,5.231622377250584
Argentina,2018,4.5378788968114625
Argentina,2019,5.318555996734804
Argentina,2020,6.3570336757552655
Argentina,2021,7.291282496220415
Argentina,2022,6.541569404848367
Argentina,2023,5.846778603906901
Argentina,2024,5.806017109159592
Brasil,1981,11.450800614971596
Brasil,1982,5.649053902623697
Brasil,1983,10.056100792254778
Brasil,1984,11.857332063208927
Brasil,1985,11.145364011550141
Brasil,1986,10.36363866543837
Brasil,1987,9.361520211285528
Brasil,1988,9.79723660427779
Brasil,1989,8.441587377169677
Brasil,1990,6.963436719172764
Brasil,1991,6.841389377301528
Brasil,1992,6.806084884083033
Brasil,1993,6.778109238839819
Brasil,1994,8.721989375176728
Brasil,1995,5.0116664646569316
Brasil,1996,4.768411208331665
Brasil,1997,4.685047025481692
Brasil,1998,4.750044787566312
Brasil,1999,4.645981538206647
Brasil,2000,4.7504599720911
Brasil,2001,4.801043018955078
Brasil,2002,5.475274894762806
Brasil,2003,6.167184387424183
Brasil,2004,5.665311576788951
Brasil,2005,4.65116882266178
Brasil,2006,4.370043778958069
Brasil,2007,4.416915436172349
Brasil,2008,4.567851181047225
Brasil,2009,4.476773992144533
Brasil,2010,4.115756486470549
Brasil,2011,4.34203412828906
Brasil,2012,4.168328224241085
Brasil,2013,4.506886181659561
Brasil,2014,4.325610538773615
Brasil,2015,4.3191494293122075
Brasil,2016,4.8913535872106575
Brasil,2017,4.600591695204804
Brasil,2018,4.420399303460195
Brasil,2019,4.205014095108697
Brasil,2020,5.711485115159201
Brasil,2021,6.558762612073814
Brasil,2022,5.767474908422181
Brasil,2023,6.023060235141567
Brasil,2024,5.752276409424899
Chile,1970,6.695753457718142
Chile,1971,8.011001728616865
Chile,1972,8.149115989053929
Chile,1973,6.505387043118528
Chile,1974,5.560413094903882
Chile,1975,6.422340304982939
Chile,1976,8.290575512169632
Chile,1977,9.619039658837714
Chile,1978,7.423904360232416
Chile,1979,7.123942919662969
Chile,1980,7.090426240838915
Chile,1981,6.341409088227161
Chile,1982,6.230302199594971
Chile,1983,5.811173544925241
Chile,1984,7.038127439817951
Chile,1985,7.378831641655317
Chile,1986,8.435382385368692
Chile,1987,8.65561213174041
Chile,1988,8.438888483202515
Chile,1989,8.259438295620042
Chile,1990,8.164882547276887
Chile,1991,9.162728308021869
Chile,1992,9.089227022579886
Chile,1993,7.929479702999734
Chile,1994,7.444784229758482
Chile,1995,6.967403126201504
Chile,1996,5.01955878065988
Chile,1997,5.006550218335102
Chile,1998,5.394231866747977
Chile,1999,5.294043319776044
Chile,2000,5.0829624305111825
Chile,2001,4.062420264161446
Chile,2002,4.065033247532842
Chile,2003,4.094775330938245
Chile,2004,3.758265825403353
Chile,2005,3.9222119378950295
Chile,2006,3.7120451436571402
Chile,2007,3.55057108879902
Chile,2008,3.4244322613297844
Chile,2009,3.6971269558848636
Chile,2010,3.4782846318978557
Chile,2011,3.6261832358388064
Chile,2012,3.274933539617523
Chile,2013,3.4733753278992627
Chile,2014,3.9466206299946176
Chile,2015,3.7094042753649
Chile,2016,4.1990893712919615
Chile,2017,4.2809716137703715
Chile,2018,3.9274359246112347
Chile,2019,3.9878121713789962
Chile,2020,4.045426844099469
Chile,2021,3.505864368136149
Chile,2022,3.2346792584916213
Chile,2023,3.4902273336242464
Chile,2024,3.9123635123516083
México,1970,12.120563063063063
México,1971,12.00295918367347
México,1972,10.947345132743363
México,1973,11.530738060781475
México,1974,11.478555555555555
México,1975,11.138754545454546
México,1976,10.617928519328956
México,1977,10.515970795024337
México,1978,10.269482242190843
México,1979,9.182708604954367
México,1980,6.3187139838739315
México,1981,6.359815393643463
México,1982,5.373483360211887
México,1983,5.935248645877526
México,1984,6.4220113089397
México,1985,6.539725443254825
México,1986,6.807684938032016
México,1987,6.416472205012254
México,1988,6.478093924651063
México,1989,6.452598449531009
México,1990,6.667096378898905
México,1991,6.496989748567226
México,1992,5.9989808099922515
México,1993,4.794150189640994
México,1994,4.363848712308238
México,1995,4.130571866409452
México,1996,4.579944229002885
México,1997,4.218890069132334
México,1998,3.907647463795432
México,1999,3.4901775386954594
México,2000,3.159265130977623
México,2001,3.2254903518803557
México,2002,3.1103617232533414
México,2003,3.2073554072026536
México,2004,3.1859469830490807
México,2005,2.9456722751517885
México,2006,2.942955163586395
México,2007,3.0418656709759957
México,2008,3.028758980827861
México,2009,3.1005984191884233
México,2010,3.092008386708046
México,2011,2.9756948396817817
México,2012,3.0487293714888803
México,2013,3.0245427757813514
México,2014,3.0271365185357304
México,2015,3.0851863436742972
México,2016,3.246289078379699
México,2017,3.2975117757527546
México,2018,3.2969594527260027
México,2019,3.3150244018484467
México,2020,3.7111488823617194
México,2021,3.7826652875829416
México,2022,3.898065709707859
México,2023,3.83754974792513
México,2024,3.7245106584483474
