anio,geocodigoFundar,geonombreFundar,variable,valor,valor_pct,tendencia,residuo
1970,ARG,Argentina,share_industrial_gdp,0.300216,30.0216,NA,NA
1971,ARG,Argentina,share_industrial_gdp,0.301157,30.1157,NA,NA
1972,ARG,Argentina,share_industrial_gdp,0.304161,30.4161,NA,NA
1973,ARG,Argentina,share_industrial_gdp,0.284372,28.4372,30.37815714285714,-1.9409571428571404
1974,ARG,Argentina,share_industrial_gdp,0.285216,28.521600000000003,30.54057142857143,-2.018971428571426
1975,ARG,Argentina,share_industrial_gdp,0.319313,31.9313,30.402328571428573,1.5289714285714275
1976,ARG,Argentina,share_industrial_gdp,0.332036,33.2036,30.111585714285713,3.0920142857142885
1977,ARG,Argentina,share_industrial_gdp,0.311585,31.1585,30.247314285714285,0.9111857142857147
1978,ARG,Argentina,share_industrial_gdp,0.29148,29.148000000000003,30.2474,-1.0993999999999957
1979,ARG,Argentina,share_industrial_gdp,0.283809,28.380899999999997,30.1502,-1.7693000000000048
1980,ARG,Argentina,share_industrial_gdp,0.293873,29.3873,29.75915714285714,-0.37185714285714155
1981,ARG,Argentina,share_industrial_gdp,0.285222,28.522199999999998,29.565842857142854,-1.0436428571428564
1982,ARG,Argentina,share_industrial_gdp,0.312509,31.250899999999998,29.608714285714285,1.6421857142857128
1983,ARG,Argentina,share_industrial_gdp,0.304663,30.4663,29.471428571428568,0.9948714285714324
1984,ARG,Argentina,share_industrial_gdp,0.298053,29.805300000000003,29.210014285714287,0.5952857142857155
1985,ARG,Argentina,share_industrial_gdp,0.294481,29.4481,29.1441,0.3039999999999985
1986,ARG,Argentina,share_industrial_gdp,0.274199,27.419900000000002,29.066314285714288,-1.646414285714286
1987,ARG,Argentina,share_industrial_gdp,0.275574,27.557399999999998,28.497871428571425,-0.9404714285714277
1988,ARG,Argentina,share_industrial_gdp,0.280608,28.060800000000004,27.7017,0.3591000000000051
1989,ARG,Argentina,share_industrial_gdp,0.307064,30.706400000000002,26.61367142857143,4.092728571428573
1990,ARG,Argentina,share_industrial_gdp,0.264872,26.4872,25.482428571428574,1.004771428571427
1991,ARG,Argentina,share_industrial_gdp,0.242321,24.232100000000003,24.2703,-0.03819999999999624
1992,ARG,Argentina,share_industrial_gdp,0.218319,21.8319,22.88502857142857,-1.0531285714285694
1993,ARG,Argentina,share_industrial_gdp,0.195012,19.5012,21.176099999999998,-1.6748999999999974
1994,ARG,Argentina,share_industrial_gdp,0.190725,19.0725,20.184685714285713,-1.1121857142857117
1995,ARG,Argentina,share_industrial_gdp,0.183639,18.3639,19.44825714285714,-1.0843571428571401
1996,ARG,Argentina,share_industrial_gdp,0.187439,18.7439,18.903342857142857,-0.15944285714285655
1997,ARG,Argentina,share_industrial_gdp,0.195473,19.5473,18.62045714285714,0.9268428571428586
1998,ARG,Argentina,share_industrial_gdp,0.190771,19.077099999999998,18.318571428571428,0.7585285714285703
1999,ARG,Argentina,share_industrial_gdp,0.180175,18.017500000000002,18.737657142857138,-0.7201571428571363
2000,ARG,Argentina,share_industrial_gdp,0.17521,17.521,19.477214285714286,-1.9562142857142852
2001,ARG,Argentina,share_industrial_gdp,0.169593,16.9593,19.866814285714288,-2.9075142857142886
2002,ARG,Argentina,share_industrial_gdp,0.212975,21.2975,20.222085714285715,1.0754142857142845
2003,ARG,Argentina,share_industrial_gdp,0.239208,23.9208,20.6568,3.2639999999999993
2004,ARG,Argentina,share_industrial_gdp,0.222745,22.2745,21.0401,1.2344000000000008
2005,ARG,Argentina,share_industrial_gdp,0.21564,21.564,21.435142857142857,0.128857142857143
2006,ARG,Argentina,share_industrial_gdp,0.210605,21.060499999999998,21.047242857142855,0.013257142857142412
2007,ARG,Argentina,share_industrial_gdp,0.202041,20.2041,20.328342857142854,-0.12424285714285332
2008,ARG,Argentina,share_industrial_gdp,0.197246,19.7246,19.841214285714283,-0.11661428571428445
2009,ARG,Argentina,share_industrial_gdp,0.185822,18.5822,19.352585714285713,-0.7703857142857125
2010,ARG,Argentina,share_industrial_gdp,0.188885,18.8885,18.897514285714287,-0.00901428571428653
2011,ARG,Argentina,share_industrial_gdp,0.188646,18.8646,18.525671428571428,0.33892857142857125
2012,ARG,Argentina,share_industrial_gdp,0.181436,18.1436,18.11612857142857,0.027471428571431034
2013,ARG,Argentina,share_industrial_gdp,0.17875,17.875,17.74342857142857,0.13157142857143
2014,ARG,Argentina,share_industrial_gdp,0.176012,17.6012,17.218514285714285,0.38268571428571363
2015,ARG,Argentina,share_industrial_gdp,0.168578,16.8578,16.89702857142857,-0.039228571428569836
2016,ARG,Argentina,share_industrial_gdp,0.15973300000000001,15.973300000000002,16.610271428571426,-0.6369714285714245
2017,ARG,Argentina,share_industrial_gdp,0.152141,15.2141,16.549242857142854,-1.3351428571428539
2018,ARG,Argentina,share_industrial_gdp,0.166142,16.6142,16.692642857142857,-0.07844285714285704
2019,ARG,Argentina,share_industrial_gdp,0.161363,16.136300000000002,17.051614285714287,-0.9153142857142846
2020,ARG,Argentina,share_industrial_gdp,0.174478,17.4478,17.540342857142857,-0.09254285714285615
2021,ARG,Argentina,share_industrial_gdp,0.18605,18.605,17.953371428571426,0.6516285714285743
2022,ARG,Argentina,share_industrial_gdp,0.193706,19.3706,NA,NA
2023,ARG,Argentina,share_industrial_gdp,0.193944,19.3944,NA,NA
2024,ARG,Argentina,share_industrial_gdp,0.181053,18.1053,NA,NA
